,1000,5000,10000,50000,100000
0,0,3,3,3,3
1,2,3,3,2,2
2,2,3,3,3,2
3,3,3,3,3,2
4,2,3,3,2,2
5,2,2,2,2,2
6,0,2,2,2,2
7,2,2,2,2,2
8,0,3,3,3,3
9,2,3,3,3,3
10,3,3,3,3,3
11,3,3,3,3,3
12,3,3,3,3,3
13,1,3,3,3,3
14,1,2,3,2,2
15,2,2,2,2,2
16,3,3,3,3,3
17,2,0,0,3,3
18,0,0,0,0,0
19,0,0,0,0,0
20,2,2,2,2,2
21,3,3,3,3,3
22,3,3,2,2,2
23,1,2,2,2,2
24,0,3,3,3,3
25,0,3,3,0,3
26,2,0,0,3,0
27,0,0,3,2,1
28,2,0,0,0,0
29,0,0,0,0,0
30,2,2,2,2,2
31,2,2,2,2,2
32,0,0,3,3,0
33,0,3,3,3,3
34,0,3,0,0,3
35,0,0,0,0,0
36,2,2,2,2,2
37,0,1,1,1,1
38,0,3,3,3,3
39,2,2,2,2,2
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,2,2,1
44,0,3,3,3,3
45,0,0,0,0,0
46,0,0,0,0,0
47,2,2,2,2,2
48,0,0,0,0,0
49,0,0,0,0,0
50,0,2,2,1,1
51,0,3,0,2,3
52,0,0,0,0,0
53,2,2,0,2,2
54,0,0,0,0,0
55,0,0,0,0,1
56,0,0,0,0,0
57,0,1,1,1,1
58,0,0,0,0,0
59,0,0,0,0,0
60,2,1,2,0,0
61,2,1,2,2,1
62,3,1,1,1,3
63,0,0,0,0,0
