,Iteration to converge,Time to converge,Max V,Mean V
100,99,1.2400269508361816,9400.832204541157,5839.126360832938
200,199,4.3623740673065186,9199.082790952154,3785.5986822438545
300,299,8.552958011627197,9132.266776626739,2692.671360103045
400,399,11.359561920166016,9110.138435964716,2055.933712235481
500,479,17.39947199821472,9103.66019052493,1653.9806904374202
600,479,21.704808950424194,9103.66019052493,1386.68832403063
700,479,26.295713901519775,9103.66019052493,1195.7652051686373
800,479,31.526086807250977,9103.66019052493,1052.5728660221425
900,479,38.268417835235596,9103.66019052493,941.2010466859799
1000,479,47.8696608543396,9103.66019052493,852.1035912170499
