,Iteration to converge,Time to converge,Max V,Mean V
100,101,0.006329059600830078,6120.078389730534,2558.372546022316
200,204,0.013939142227172852,8147.141819213196,2733.6577105048955
300,313,0.02537226676940918,8816.645536391065,2377.0501198673674
400,448,0.040849924087524414,9039.025864741321,1984.8211410120912
500,1458,0.12926697731018066,9103.659349165942,1653.9798836153352
600,1458,0.14585423469543457,9103.659349165942,1386.6876485031003
700,1458,0.17369699478149414,9103.659349165942,1195.7646234229321
800,1458,0.36045312881469727,9103.659349165942,1052.5723546128063
900,1458,0.4575681686401367,9103.659349165942,941.2005899827083
1000,1458,0.6169369220733643,9103.659349165942,852.1031782786298
