,RHC,SA,GA,MIMIC
0,57.0,57.0,63.0,70.0
1,57.0,57.0,67.0,75.0
2,57.0,57.0,67.0,78.0
3,57.0,58.0,67.0,84.0
4,57.0,59.0,67.0,86.0
5,57.0,59.0,67.0,91.0
6,58.0,59.0,69.0,94.0
7,59.0,60.0,69.0,97.0
8,60.0,61.0,69.0,98.0
9,60.0,62.0,69.0,99.0
10,61.0,62.0,69.0,100.0
11,61.0,63.0,69.0,100.0
12,61.0,63.0,69.0,100.0
13,61.0,64.0,69.0,100.0
14,61.0,65.0,69.0,100.0
15,61.0,65.0,69.0,100.0
16,62.0,66.0,71.0,100.0
17,63.0,66.0,71.0,100.0
18,63.0,67.0,71.0,100.0
19,63.0,68.0,71.0,100.0
20,64.0,69.0,71.0,100.0
21,64.0,68.0,71.0,
22,64.0,69.0,71.0,
23,64.0,69.0,71.0,
24,65.0,69.0,71.0,
25,66.0,69.0,71.0,
26,66.0,70.0,71.0,
27,66.0,70.0,,
28,66.0,69.0,,
29,67.0,69.0,,
30,67.0,69.0,,
31,67.0,70.0,,
32,68.0,70.0,,
33,69.0,69.0,,
34,70.0,69.0,,
35,71.0,70.0,,
36,71.0,69.0,,
37,71.0,69.0,,
38,72.0,70.0,,
39,73.0,71.0,,
40,73.0,70.0,,
41,73.0,69.0,,
42,73.0,69.0,,
43,73.0,69.0,,
44,74.0,70.0,,
45,74.0,69.0,,
46,74.0,70.0,,
47,75.0,70.0,,
48,76.0,71.0,,
49,76.0,72.0,,
50,77.0,72.0,,
51,77.0,72.0,,
52,77.0,73.0,,
53,77.0,73.0,,
54,77.0,73.0,,
55,77.0,73.0,,
56,77.0,73.0,,
57,77.0,73.0,,
58,77.0,72.0,,
59,77.0,72.0,,
60,78.0,73.0,,
61,78.0,74.0,,
62,78.0,74.0,,
63,78.0,74.0,,
64,78.0,73.0,,
65,78.0,73.0,,
66,78.0,74.0,,
67,79.0,74.0,,
68,79.0,74.0,,
69,79.0,75.0,,
70,79.0,75.0,,
71,79.0,76.0,,
72,79.0,76.0,,
73,79.0,75.0,,
74,80.0,75.0,,
75,80.0,74.0,,
76,80.0,74.0,,
77,81.0,74.0,,
78,81.0,74.0,,
79,82.0,74.0,,
80,82.0,75.0,,
81,82.0,76.0,,
82,82.0,77.0,,
83,82.0,78.0,,
84,83.0,78.0,,
85,83.0,78.0,,
86,83.0,78.0,,
87,83.0,79.0,,
88,83.0,80.0,,
89,83.0,81.0,,
90,84.0,81.0,,
91,85.0,81.0,,
92,86.0,81.0,,
93,86.0,81.0,,
94,87.0,82.0,,
95,87.0,82.0,,
96,87.0,83.0,,
97,87.0,83.0,,
98,87.0,84.0,,
99,87.0,84.0,,
