,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.0032889842987060547,0.00011348640885032694,0.009223620096842447,0.0013839157572622133,1,{'model__n_neighbors': 1},0.6853932584269663,0.6928838951310862,0.6654135338345865,0.6812302291308797,0.011594633733761326,13,1.0,1.0,1.0,1.0,0.0
1,0.0032912890116373696,6.882147753002874e-05,0.008907397588094076,4.07341629153938e-05,5,{'model__n_neighbors': 5},0.7078651685393258,0.7153558052434457,0.7030075187969925,0.7087428308599213,0.005079223228188829,12,1.0,1.0,1.0,1.0,0.0
2,0.003704706827799479,0.0002657531550882436,0.009888648986816406,0.0004282498560484962,9,{'model__n_neighbors': 9},0.7265917602996255,0.7490636704119851,0.7669172932330827,0.7475242413148977,0.016498778400244357,1,1.0,1.0,1.0,1.0,0.0
3,0.003287633260091146,1.9036031080617147e-05,0.009720484415690104,2.93260236585581e-05,13,{'model__n_neighbors': 13},0.7340823970037453,0.7265917602996255,0.7443609022556391,0.73501168651967,0.007283922282055948,5,1.0,1.0,1.0,1.0,0.0
4,0.003549337387084961,5.227115520606152e-06,0.010444084803263346,1.7483667890111318e-05,17,{'model__n_neighbors': 17},0.7415730337078652,0.7378277153558053,0.7368421052631579,0.7387476181089427,0.0020379870450451427,4,1.0,1.0,1.0,1.0,0.0
5,0.0035658677419026694,2.136238747156845e-05,0.010674556096394857,1.942034418351107e-05,21,{'model__n_neighbors': 21},0.7602996254681648,0.7340823970037453,0.7368421052631579,0.7437413759116893,0.011762531436731831,2,1.0,1.0,1.0,1.0,0.0
6,0.003562768300374349,1.0929757669029196e-05,0.010944286982218424,1.9904104243047863e-05,25,{'model__n_neighbors': 25},0.7415730337078652,0.7340823970037453,0.7406015037593985,0.7387523114903364,0.0033258626544348194,3,1.0,1.0,1.0,1.0,0.0
7,0.003570397694905599,1.3959651561758546e-05,0.01150218645731608,0.0004012234685069887,29,{'model__n_neighbors': 29},0.7415730337078652,0.7116104868913857,0.7368421052631579,0.7300085419541363,0.013151976874377368,6,1.0,1.0,1.0,1.0,0.0
8,0.0035448074340820312,1.7292607635068346e-05,0.011299928029378256,7.00875831183498e-05,33,{'model__n_neighbors': 33},0.7453183520599251,0.7191011235955056,0.7218045112781954,0.7287413289778755,0.011773567766762893,7,1.0,1.0,1.0,1.0,0.0
9,0.003538211186726888,8.058038516120647e-05,0.011594374974568685,0.00033589250926020504,37,{'model__n_neighbors': 37},0.7415730337078652,0.7228464419475655,0.7142857142857143,0.726235063313715,0.011394779985705943,8,1.0,1.0,1.0,1.0,0.0
10,0.003397067387898763,8.65564158993308e-05,0.011156717936197916,3.3034144328982945e-05,41,{'model__n_neighbors': 41},0.7378277153558053,0.7265917602996255,0.7105263157894737,0.7249819304816348,0.011203727611894525,10,1.0,1.0,1.0,1.0,0.0
11,0.004278977711995442,0.0009418268483586223,0.012320280075073242,0.0004790783110399288,45,{'model__n_neighbors': 45},0.7490636704119851,0.7153558052434457,0.7142857142857143,0.726235063313715,0.016148173275427457,8,1.0,1.0,1.0,1.0,0.0
12,0.003440300623575846,1.1368230765944255e-05,0.011753161748250326,0.00013445826157190295,49,{'model__n_neighbors': 49},0.7415730337078652,0.7191011235955056,0.706766917293233,0.7224803581988679,0.01440904472534879,11,1.0,1.0,1.0,1.0,0.0
0,0.0034012794494628906,0.000176257079060026,0.008555968602498373,0.00018004042708655275,1,{'model__n_neighbors': 1},0.6704119850187266,0.6367041198501873,0.6992481203007519,0.6687880750565552,0.025559288080382662,13,1.0,1.0,1.0,1.0,0.0
1,0.005113522211710612,0.002301124508660507,0.009551763534545898,0.00017529014311701792,5,{'model__n_neighbors': 5},0.7265917602996255,0.6966292134831461,0.7180451127819549,0.7137553621882421,0.012602645834628634,12,1.0,1.0,1.0,1.0,0.0
2,0.0036350091298421225,0.00010904782658942108,0.009684085845947266,8.079845830793217e-05,9,{'model__n_neighbors': 9},0.7528089887640449,0.7378277153558053,0.7293233082706767,0.7399866707968424,0.009708762829060878,5,1.0,1.0,1.0,1.0,0.0
3,0.003475348154703776,3.515270639196471e-05,0.010145982106526693,7.280746328453713e-05,13,{'model__n_neighbors': 13},0.7602996254681648,0.7490636704119851,0.7593984962406015,0.756253930706917,0.0050975739852632766,1,1.0,1.0,1.0,1.0,0.0
4,0.003478368123372396,3.23373493847947e-05,0.010177135467529297,1.0083349073383238e-05,17,{'model__n_neighbors': 17},0.7528089887640449,0.7378277153558053,0.7593984962406015,0.7500117334534839,0.009025634786514799,2,1.0,1.0,1.0,1.0,0.0
5,0.0035109519958496094,5.3908966162204135e-05,0.01049502690633138,0.0001542189630405282,21,{'model__n_neighbors': 21},0.7565543071161048,0.7490636704119851,0.7330827067669173,0.7462335614316692,0.00978897827042719,3,1.0,1.0,1.0,1.0,0.0
6,0.003508329391479492,0.00015759894893789574,0.010703563690185547,0.00016717693608888856,25,{'model__n_neighbors': 25},0.7453183520599251,0.7378277153558053,0.7481203007518797,0.74375545605587,0.004344829223608978,4,1.0,1.0,1.0,1.0,0.0
7,0.0034696261088053384,6.75812825779926e-05,0.011102994283040365,0.0008162669064915806,29,{'model__n_neighbors': 29},0.7453183520599251,0.7228464419475655,0.7330827067669173,0.7337491669248027,0.009186214776538044,10,1.0,1.0,1.0,1.0,0.0
8,0.0038892428080240884,0.0006864832407488346,0.011319796244303385,0.000535653005335089,33,{'model__n_neighbors': 33},0.7415730337078652,0.7116104868913857,0.7293233082706767,0.7275022762899758,0.01229974718001641,11,1.0,1.0,1.0,1.0,0.0
9,0.00345460573832194,7.629824997096169e-05,0.011257330576578775,0.0001891754230755361,37,{'model__n_neighbors': 37},0.7565543071161048,0.7340823970037453,0.7255639097744361,0.738733537964762,0.01307226111601874,7,1.0,1.0,1.0,1.0,0.0
10,0.003287235895792643,5.0348048106776734e-05,0.011188983917236328,9.432039075528482e-05,41,{'model__n_neighbors': 41},0.7528089887640449,0.7340823970037453,0.7293233082706767,0.7387382313461556,0.010137451754989818,6,1.0,1.0,1.0,1.0,0.0
11,0.003428379694620768,0.00011606787376114057,0.01139680544535319,0.00011713161827337923,45,{'model__n_neighbors': 45},0.7528089887640449,0.7303370786516854,0.7255639097744361,0.7362366590633888,0.011879320100160663,8,1.0,1.0,1.0,1.0,0.0
12,0.0033920605977376304,3.323657230219788e-05,0.011726617813110352,0.00011636194555199078,49,{'model__n_neighbors': 49},0.7528089887640449,0.7340823970037453,0.7180451127819549,0.734978832849915,0.014206441408606552,9,1.0,1.0,1.0,1.0,0.0
0,0.0033524036407470703,2.6241211406484805e-05,0.008644978205362955,0.00014334388203469006,1,{'model__n_neighbors': 1},0.6966292134831461,0.6292134831460674,0.6992481203007519,0.6750302723099885,0.03241499956499791,13,1.0,1.0,1.0,1.0,0.0
1,0.003373225529988607,5.4690725326274486e-05,0.009052515029907227,0.00012420227415815965,5,{'model__n_neighbors': 5},0.704119850187266,0.6853932584269663,0.7368421052631579,0.7087850712924634,0.021261376188819618,12,1.0,1.0,1.0,1.0,0.0
2,0.0034873485565185547,8.088471085666214e-05,0.009393056233723959,5.711251691664724e-05,9,{'model__n_neighbors': 9},0.7228464419475655,0.704119850187266,0.7706766917293233,0.7325476612880516,0.028024257724726002,10,1.0,1.0,1.0,1.0,0.0
3,0.003354946772257487,6.439430371491783e-05,0.00980679194132487,0.00025667915338887094,13,{'model__n_neighbors': 13},0.7415730337078652,0.7378277153558053,0.7631578947368421,0.7475195479335043,0.011163191611890442,1,1.0,1.0,1.0,1.0,0.0
4,0.0035043557484944663,9.561691500255327e-05,0.010089874267578125,0.00026635044079209303,17,{'model__n_neighbors': 17},0.7340823970037453,0.7303370786516854,0.7669172932330827,0.7437789229628379,0.01643258929610674,2,1.0,1.0,1.0,1.0,0.0
5,0.0034225781758626304,7.393855214299765e-05,0.010018348693847656,1.3763726503268879e-05,21,{'model__n_neighbors': 21},0.7340823970037453,0.7378277153558053,0.7556390977443609,0.7425164033679704,0.009404278571007993,3,1.0,1.0,1.0,1.0,0.0
6,0.0035003026326497397,4.007717898258121e-05,0.010695457458496094,0.00011902620243093315,25,{'model__n_neighbors': 25},0.7303370786516854,0.7265917602996255,0.7556390977443609,0.7375226455652238,0.012901194571531912,6,1.0,1.0,1.0,1.0,0.0
7,0.003548224767049154,6.863096896538548e-05,0.010882059733072916,7.426329457391182e-05,29,{'model__n_neighbors': 29},0.7228464419475655,0.7378277153558053,0.7556390977443609,0.7387710850159106,0.013404154288589773,5,1.0,1.0,1.0,1.0,0.0
8,0.0034735997517903647,4.673382577256888e-05,0.010934670766194662,0.00010197894680039872,33,{'model__n_neighbors': 33},0.7228464419475655,0.7340823970037453,0.7518796992481203,0.7362695127331437,0.011953245410916372,8,1.0,1.0,1.0,1.0,0.0
9,0.0033643245697021484,3.1818535251069696e-05,0.011133035024007162,0.00022085612091937902,37,{'model__n_neighbors': 37},0.7191011235955056,0.7265917602996255,0.7631578947368421,0.7362835928773244,0.01924748442239723,7,1.0,1.0,1.0,1.0,0.0
10,0.003432750701904297,0.00014448493748166983,0.011323928833007812,0.00014464772210407873,41,{'model__n_neighbors': 41},0.7303370786516854,0.7340823970037453,0.7593984962406015,0.7412726572986775,0.012907785258026732,4,1.0,1.0,1.0,1.0,0.0
11,0.004044453303019206,0.0007026120781145858,0.011822859446207682,0.0004844761868976565,45,{'model__n_neighbors': 45},0.7303370786516854,0.7340823970037453,0.7443609022556391,0.7362601259703566,0.005928675215015897,9,1.0,1.0,1.0,1.0,0.0
12,0.0033838748931884766,5.8782953662804075e-05,0.011523246765136719,3.5245653289222746e-05,49,{'model__n_neighbors': 49},0.7228464419475655,0.7265917602996255,0.7481203007518797,0.7325195009996902,0.01113689265670654,11,1.0,1.0,1.0,1.0,0.0
0,0.0033849875132242837,0.0001272792522411858,0.008643309275309244,8.913525159705973e-05,1,{'model__n_neighbors': 1},0.6853932584269663,0.7078651685393258,0.6879699248120301,0.6937427839261074,0.010041285202858916,13,1.0,1.0,1.0,1.0,0.0
1,0.0033416748046875,4.929713722671772e-05,0.008921305338541666,3.904261456463034e-05,5,{'model__n_neighbors': 5},0.7565543071161048,0.7378277153558053,0.706766917293233,0.7337163132550476,0.020532474550805847,7,1.0,1.0,1.0,1.0,0.0
2,0.003421306610107422,0.00017461715533546691,0.00911100705464681,5.468622124219721e-05,9,{'model__n_neighbors': 9},0.7565543071161048,0.7490636704119851,0.7330827067669173,0.7462335614316692,0.00978897827042719,3,1.0,1.0,1.0,1.0,0.0
3,0.003333409627278646,0.00012158511222385755,0.009378989537556967,0.00020975021197410746,13,{'model__n_neighbors': 13},0.7677902621722846,0.7677902621722846,0.7368421052631579,0.7574742098692423,0.014589101077112565,1,1.0,1.0,1.0,1.0,0.0
4,0.003258943557739258,7.423590410680897e-05,0.01053007443745931,0.0010360304141523266,17,{'model__n_neighbors': 17},0.7565543071161048,0.7640449438202247,0.7330827067669173,0.7512273192344155,0.013189582524478617,2,1.0,1.0,1.0,1.0,0.0
5,0.00332029660542806,6.325790026547119e-05,0.010049661000569662,0.00010890177303108705,21,{'model__n_neighbors': 21},0.7602996254681648,0.7490636704119851,0.7255639097744361,0.7449757352181953,0.014472408157141783,4,1.0,1.0,1.0,1.0,0.0
6,0.003250281016031901,5.4387430229208406e-05,0.010106484095255533,0.00011816237946069557,25,{'model__n_neighbors': 25},0.7378277153558053,0.7490636704119851,0.7180451127819549,0.7349788328499152,0.01282250178426323,6,1.0,1.0,1.0,1.0,0.0
7,0.0033789475758870444,0.00012873990040369914,0.01052395502726237,0.0001321995130047352,29,{'model__n_neighbors': 29},0.7378277153558053,0.7453183520599251,0.7255639097744361,0.7362366590633888,0.008142812478781845,5,1.0,1.0,1.0,1.0,0.0
8,0.0032958984375,4.6530120756027014e-05,0.01065524419148763,3.303414432898295e-05,33,{'model__n_neighbors': 33},0.7191011235955056,0.7565543071161048,0.7142857142857143,0.729980381665775,0.018893158851552155,10,1.0,1.0,1.0,1.0,0.0
9,0.003285964330037435,7.736363483543467e-05,0.010709047317504883,4.3945401492955906e-05,37,{'model__n_neighbors': 37},0.7228464419475655,0.7490636704119851,0.7180451127819549,0.7299850750471686,0.013632260542794207,9,1.0,1.0,1.0,1.0,0.0
10,0.0032602151234944663,4.834367435897578e-05,0.011151790618896484,0.00028719501306781464,41,{'model__n_neighbors': 41},0.7191011235955056,0.7453183520599251,0.7218045112781954,0.7287413289778755,0.011773567766762893,12,1.0,1.0,1.0,1.0,0.0
11,0.003362576166788737,7.891242787077206e-05,0.011315186818440756,0.0001090976834065928,45,{'model__n_neighbors': 45},0.7228464419475655,0.7378277153558053,0.7293233082706767,0.7299991551913493,0.006134721674112831,8,1.0,1.0,1.0,1.0,0.0
12,0.003708442052205404,0.00021331933808682588,0.012366612752278646,0.0008603193684510116,49,{'model__n_neighbors': 49},0.7228464419475655,0.7265917602996255,0.7368421052631579,0.7287601025034496,0.005915850395083696,11,1.0,1.0,1.0,1.0,0.0
0,0.0034221808115641275,3.225873762485729e-05,0.008598725001017252,7.535745462322043e-05,1,{'model__n_neighbors': 1},0.6928838951310862,0.7116104868913857,0.6729323308270677,0.6924755709498466,0.015792930604370085,13,1.0,1.0,1.0,1.0,0.0
1,0.0033375422159830728,4.755492832324788e-05,0.008874177932739258,2.7741378843709134e-05,5,{'model__n_neighbors': 5},0.7303370786516854,0.7116104868913857,0.7218045112781954,0.7212506922737555,0.007655122309342506,12,1.0,1.0,1.0,1.0,0.0
2,0.0034140745798746743,6.17113791927352e-05,0.009339570999145508,9.598294943170311e-05,9,{'model__n_neighbors': 9},0.7415730337078652,0.7340823970037453,0.7518796992481203,0.7425117099865769,0.007295972709267776,4,1.0,1.0,1.0,1.0,0.0
3,0.0033988157908121743,5.9335205590221585e-05,0.009646177291870117,0.0001093465687475277,13,{'model__n_neighbors': 13},0.7602996254681648,0.7565543071161048,0.7406015037593985,0.7524851454478894,0.008540981880513814,2,1.0,1.0,1.0,1.0,0.0
4,0.0032883485158284507,3.600532797254381e-05,0.009665886561075846,9.446919811778713e-05,17,{'model__n_neighbors': 17},0.7528089887640449,0.7415730337078652,0.7631578947368421,0.7525133057362506,0.008814462651413908,1,1.0,1.0,1.0,1.0,0.0
5,0.003288745880126953,7.675029449663622e-05,0.00991662343343099,0.00025229945753089137,21,{'model__n_neighbors': 21},0.7415730337078652,0.7565543071161048,0.7481203007518797,0.7487492138586166,0.006132225642998687,3,1.0,1.0,1.0,1.0,0.0
