,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__activation,param_model__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.03309027353922526,0.002881354386807993,0.0016031265258789062,9.333531654252998e-05,tanh,"(48,)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (48,)}",0.7415730337078652,0.7453183520599251,0.7744360902255639,0.7537758253311181,0.014688811195851815,3,0.8236397748592871,0.801125703564728,0.8277153558052435,0.8174936114097529,0.011692843835132097
1,0.033517678578694664,0.001370068159969785,0.001714626948038737,5.04878511727305e-05,tanh,"(96,)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (96,)}",0.7228464419475655,0.7490636704119851,0.8007518796992481,0.7575539973529329,0.0323664285589607,1,0.7936210131332082,0.8198874296435272,0.8033707865168539,0.8056264097645297,0.01084118801146756
2,0.05137825012207031,0.005822841777140985,0.0019411245981852214,4.448336698169506e-05,tanh,"(144,)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (144,)}",0.7265917602996255,0.7490636704119851,0.793233082706767,0.7562961711394592,0.027682705348560495,2,0.8611632270168855,0.7954971857410882,0.8333333333333334,0.829997915363769,0.026911596062942203
3,0.04882915814717611,0.003530953035709472,0.0019974708557128906,5.534221990336952e-05,tanh,"(96, 48)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (96, 48)}",0.7453183520599251,0.7490636704119851,0.7368421052631579,0.7437413759116893,0.005112520839457801,6,0.8142589118198874,0.8180112570356473,0.7921348314606742,0.8081350001054028,0.011417065330734215
4,0.0731202761332194,0.030521561145594792,0.002448002497355143,0.00014217177062319822,tanh,"(96, 96)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (96, 96)}",0.7378277153558053,0.7303370786516854,0.7593984962406015,0.7425210967493641,0.012319696147454115,7,0.7823639774859287,0.9812382739212008,0.7883895131086143,0.8506639215052479,0.09236277353103957
5,0.029959678649902344,0.0018229609078326174,0.0016512870788574219,6.055112230284993e-05,relu,"(48,)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (48,)}",0.704119850187266,0.7677902621722846,0.7556390977443609,0.7425164033679704,0.027599929605678503,8,0.7954971857410882,0.8292682926829268,0.8089887640449438,0.8112514141563197,0.013879519808316053
6,0.03628897666931152,0.005043723603274189,0.0016589959462483723,7.491412070087895e-05,relu,"(96,)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (96,)}",0.7303370786516854,0.7415730337078652,0.7781954887218046,0.7500352003604517,0.020433845321786288,4,0.8086303939962477,0.776735459662289,0.8558052434456929,0.8137236990347431,0.03248039402521602
7,0.054288228352864586,0.016281396330315744,0.0017019907633463542,1.2148174646156335e-05,relu,"(144,)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (144,)}",0.7153558052434457,0.7228464419475655,0.7744360902255639,0.7375461124721917,0.026263793246489225,10,0.9699812382739212,0.8330206378986866,0.8071161048689138,0.8700393270138406,0.07145651557700915
8,0.05436293284098307,0.004740061174540794,0.0017326672871907551,7.044972047537378e-05,relu,"(96, 48)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (96, 48)}",0.7265917602996255,0.7340823970037453,0.7631578947368421,0.741277350680071,0.0157711987649112,9,0.8330206378986866,0.9155722326454033,0.8876404494382022,0.8787444399940973,0.0342835790316466
9,0.06685773531595866,0.012340989005907172,0.0020291805267333984,8.570365865662179e-05,relu,"(96, 96)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (96, 96)}",0.7528089887640449,0.7378277153558053,0.7593984962406015,0.7500117334534839,0.009025634786514799,5,0.9512195121951219,0.8273921200750469,0.8146067415730337,0.8644061246144008,0.06160784405301166
0,0.03847090403238932,0.009944086230022433,0.0016489028930664062,4.730431298385559e-05,tanh,"(48,)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (48,)}",0.7602996254681648,0.6853932584269663,0.7631578947368421,0.7362835928773244,0.036003814901155916,8,0.8911819887429644,0.7842401500938087,0.8539325842696629,0.8431182410354786,0.04432344547456853
1,0.042705694834391274,0.006609876171705467,0.0017628669738769531,3.086392737921441e-05,tanh,"(96,)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (96,)}",0.7228464419475655,0.7453183520599251,0.7406015037593985,0.7362554325889631,0.009675155019890205,9,0.849906191369606,0.8649155722326454,0.8089887640449438,0.8412701758823985,0.023634544507809722
2,0.044733683268229164,0.0051598192186666616,0.0018756389617919922,1.2557214815391248e-05,tanh,"(144,)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (144,)}",0.7565543071161048,0.7490636704119851,0.7631578947368421,0.7562586240883107,0.005757740365197812,1,0.7654784240150094,0.8348968105065666,0.8164794007490637,0.8056182117568799,0.029362131683692547
3,0.05239701271057129,0.0027351684135781475,0.002113978068033854,0.00013526290059786845,tanh,"(96, 48)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (96, 48)}",0.7378277153558053,0.7677902621722846,0.7518796992481203,0.75249922559207,0.012240000343152643,3,0.8424015009380863,0.8236397748592871,0.8277153558052435,0.8312522105342056,0.00805740228586154
4,0.056818485260009766,0.005788789169906453,0.0023391246795654297,0.0001123608527228146,tanh,"(96, 96)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (96, 96)}",0.7490636704119851,0.7228464419475655,0.7142857142857143,0.7287319422150883,0.014795402284256227,10,0.8536585365853658,0.801125703564728,0.7715355805243446,0.8087732735581462,0.03395986820894411
