,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.19447867075602213,0.001616340398951864,0.0037383238474527993,0.00012580977906854232,10,{'model__n_estimators': 10},0.46018376722817766,0.48009188361408883,0.4793261868300153,0.4732006125574273,0.00920960620350623,8,0.5566615620214395,0.5915007656967841,0.5880551301684533,0.5787391526288923,0.01567446131602277
1,0.5548993746439616,0.008654592758221754,0.00944058100382487,9.782763629211146e-05,30,{'model__n_estimators': 30},0.5298621745788668,0.5199081163859112,0.49387442572741197,0.5145482388973966,0.015172908573457714,7,0.6485451761102603,0.6309341500765697,0.6584992343032159,0.645992853496682,0.011397199367925489
2,0.8475359280904134,0.006975370321491764,0.014484643936157227,8.690567062034957e-05,50,{'model__n_estimators': 50},0.5344563552833078,0.5359877488514548,0.5199081163859112,0.5301174068402247,0.007246079411219198,6,0.6764931087289433,0.6699846860643185,0.7013782542113323,0.6826186830015314,0.01352851372415669
3,1.2324895858764648,0.012297999478908224,0.02131501833597819,0.00013952428715704475,75,{'model__n_estimators': 75},0.55895865237366,0.5382848392036753,0.5459418070444104,0.5477284328739153,0.008534075292139114,4,0.6994640122511485,0.7013782542113323,0.722052067381317,0.7076314446145994,0.010226822618503934
4,1.593140999476115,0.023572312742504722,0.0276486873626709,0.0005305895355697097,100,{'model__n_estimators': 100},0.5413476263399694,0.5436447166921899,0.5459418070444104,0.5436447166921899,0.0018755664186701304,5,0.7136294027565084,0.7120980091883614,0.7277947932618682,0.7178407350689128,0.007066293108681505
5,3.0880537827809653,0.06705992544651677,0.0572816530863444,0.003503863532802151,200,{'model__n_estimators': 200},0.5926493108728943,0.5735068912710567,0.5773353751914242,0.5811638591117917,0.00827047051864196,3,0.7584226646248086,0.7649310872894334,0.7859877488514548,0.7697805002552323,0.011764241629904568
6,4.704591751098633,0.07607273701738373,0.09054787953694661,0.010547472119992003,300,{'model__n_estimators': 300},0.5765696784073507,0.5918836140888208,0.5972434915773354,0.5885655946911691,0.008760082849275378,2,0.8013016845329249,0.7863705972434916,0.8223583460949464,0.8033435426237876,0.014762709895685669
7,7.780723889668782,0.06880736307141407,0.1417060693105062,0.0014156688572116085,500,{'model__n_estimators': 500},0.5957120980091883,0.5888208269525268,0.5987748851454824,0.5944359367023991,0.00416271220783565,1,0.833843797856049,0.8219754977029097,0.8503062787136294,0.835375191424196,0.01161657330038312
0,0.19174639383951822,0.004962179779570525,0.0036091009775797525,2.0476564394159922e-05,10,{'model__n_estimators': 10},0.4785604900459418,0.45788667687595713,0.49234303215926495,0.47626339969372133,0.014160215933313116,8,0.5792496171516079,0.5444104134762634,0.5830781010719756,0.5689127105666157,0.017396096196370052
1,0.5269752343495687,0.008968728102611205,0.009158770243326822,8.678399890548563e-05,30,{'model__n_estimators': 30},0.5007656967840735,0.49617151607963245,0.5099540581929556,0.5022970903522205,0.005729950056315386,7,0.6653905053598775,0.6734303215926493,0.6359111791730475,0.6582440020418581,0.01612918460909575
2,0.8430391152699789,0.02031410020080062,0.014769872029622396,8.65903398381533e-05,50,{'model__n_estimators': 50},0.5122511485451761,0.5137825421133231,0.5344563552833078,0.520163348647269,0.01012600021688485,6,0.6875957120980092,0.6872128637059725,0.6741960183767228,0.6830015313935682,0.006228399357790927
