,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.0033309459686279297,0.00010802457899344079,0.023525396982828777,0.0012442853038777983,1,{'model__n_neighbors': 1},0.6049004594180705,0.5980091883614089,0.6003062787136294,0.6010719754977029,0.002864975028157683,13,1.0,1.0,1.0,1.0,0.0
1,0.0033036073048909507,7.04446101445625e-05,0.04171895980834961,0.002183801557518584,5,{'model__n_neighbors': 5},0.608728943338438,0.6301684532924962,0.5972434915773354,0.6120469627360898,0.013644784486598937,12,1.0,1.0,1.0,1.0,0.0
2,0.0035676161448160806,4.258929715441037e-05,0.048982699712117515,0.0016400979821379676,9,{'model__n_neighbors': 9},0.6140888208269525,0.6416539050535988,0.6140888208269525,0.6232771822358346,0.012994305320426613,11,1.0,1.0,1.0,1.0,0.0
3,0.003302971522013346,7.566909751085628e-05,0.05125308036804199,0.0034417286071934247,13,{'model__n_neighbors': 13},0.6232771822358346,0.6439509954058193,0.6362940275650842,0.6345074017355795,0.008534075292139114,10,1.0,1.0,1.0,1.0,0.0
4,0.0032640298207600913,2.123606417159109e-05,0.05253307024637858,0.0013331285138173201,17,{'model__n_neighbors': 17},0.6316998468606432,0.6516079632465543,0.6278713629402757,0.6370597243491577,0.010405215472506113,9,1.0,1.0,1.0,1.0,0.0
5,0.0033115545908610025,9.143061517889716e-05,0.0551293690999349,0.0011563173328318745,21,{'model__n_neighbors': 21},0.6393568147013783,0.6531393568147014,0.6263399693721287,0.6396120469627361,0.010942292552437973,8,1.0,1.0,1.0,1.0,0.0
6,0.003362258275349935,5.6152285621044e-05,0.05854328473409017,0.0023080249616408226,25,{'model__n_neighbors': 25},0.6424196018376723,0.6539050535987749,0.6263399693721287,0.6408882082695252,0.011305377534635081,7,1.0,1.0,1.0,1.0,0.0
7,0.003281275431315104,3.1845519621451415e-05,0.05990290641784668,0.00109791863538404,29,{'model__n_neighbors': 29},0.6431852986217458,0.6523736600306279,0.6332312404287902,0.642930066360388,0.007816943762691979,6,1.0,1.0,1.0,1.0,0.0
8,0.003311793009440104,4.9456899877079105e-05,0.06098524729410807,0.001146430134058515,33,{'model__n_neighbors': 33},0.6454823889739663,0.6477794793261868,0.6416539050535988,0.6449719244512506,0.002526670478971848,3,1.0,1.0,1.0,1.0,0.0
9,0.003247419993082682,2.1275286800726924e-05,0.06256373723347981,0.0008438008039814989,37,{'model__n_neighbors': 37},0.6493108728943339,0.6462480857580398,0.6393568147013783,0.6449719244512506,0.00416271220783565,3,1.0,1.0,1.0,1.0,0.0
10,0.0033071041107177734,9.705071261149073e-05,0.06519261995951335,0.001332125662618477,41,{'model__n_neighbors': 41},0.6485451761102603,0.6447166921898928,0.6416539050535988,0.6449719244512506,0.0028191324699303787,3,1.0,1.0,1.0,1.0,0.0
11,0.0032667318979899087,2.476673206120562e-05,0.06802964210510254,0.0014601226538818516,45,{'model__n_neighbors': 45},0.6462480857580398,0.655436447166922,0.6393568147013783,0.6470137825421133,0.006586772792528822,2,1.0,1.0,1.0,1.0,0.0
12,0.0032715797424316406,5.411664102031281e-05,0.06717228889465332,0.0007584943272219662,49,{'model__n_neighbors': 49},0.6539050535987749,0.6493108728943339,0.6393568147013783,0.6475242470648289,0.006072168072164538,1,1.0,1.0,1.0,1.0,0.0
0,0.0037807623545328775,0.0010111350460235912,0.023790280024210613,0.0015492470865076196,1,{'model__n_neighbors': 1},0.6003062787136294,0.5926493108728943,0.6064318529862175,0.5997958141909137,0.005638264939860805,13,1.0,1.0,1.0,1.0,0.0
1,0.0031898816426595054,0.0001303424193703405,0.04001530011494955,0.001585027434693962,5,{'model__n_neighbors': 5},0.6171516079632465,0.6010719754977029,0.6263399693721287,0.6148545176110259,0.010442711865992261,12,1.0,1.0,1.0,1.0,0.0
2,0.0031833648681640625,2.7010485617111438e-05,0.045889854431152344,0.0008807380454081119,9,{'model__n_neighbors': 9},0.6179173047473201,0.6079632465543645,0.6248085758039816,0.6168963757018887,0.006914863289506915,11,1.0,1.0,1.0,1.0,0.0
3,0.0032775402069091797,0.00013674519722485314,0.04943521817525228,0.0009056427842897332,13,{'model__n_neighbors': 13},0.6209800918836141,0.6263399693721287,0.6370597243491577,0.6281265952016336,0.006684941732367904,10,1.0,1.0,1.0,1.0,0.0
4,0.003189643224080404,3.634734484692361e-05,0.05181455612182617,0.0006745117658409326,17,{'model__n_neighbors': 17},0.622511485451761,0.6324655436447167,0.6454823889739663,0.633486472690148,0.00940557721934062,9,1.0,1.0,1.0,1.0,0.0
5,0.003223260243733724,0.00010189995071232693,0.053905089696248375,0.0006289780760461563,21,{'model__n_neighbors': 21},0.6339969372128637,0.6401225114854517,0.6362940275650842,0.6368044920877999,0.002526670478971848,8,1.0,1.0,1.0,1.0,0.0
6,0.0031888484954833984,5.377946678101676e-05,0.05656305948893229,0.0012561935684198302,25,{'model__n_neighbors': 25},0.6431852986217458,0.6523736600306279,0.6385911179173047,0.6447166921898928,0.0057299500563154065,1,1.0,1.0,1.0,1.0,0.0
7,0.0032765865325927734,0.0001067158648180405,0.05867775281270345,0.0006622499768941554,29,{'model__n_neighbors': 29},0.6416539050535988,0.6470137825421133,0.6447166921898928,0.644461459928535,0.0021955909308429265,2,1.0,1.0,1.0,1.0,0.0
8,0.0032515525817871094,9.101720986219429e-05,0.060634454091389976,0.0017756586166990912,33,{'model__n_neighbors': 33},0.6370597243491577,0.6454823889739663,0.6424196018376723,0.6416539050535989,0.0034809039553307455,4,1.0,1.0,1.0,1.0,0.0
9,0.0032110214233398438,7.132369267153801e-05,0.06183997790018717,0.0007661044596363335,37,{'model__n_neighbors': 37},0.6470137825421133,0.6462480857580398,0.6393568147013783,0.6442062276671772,0.003443271455648787,3,1.0,1.0,1.0,1.0,0.0
10,0.0035633246103922525,0.0003943823026430299,0.06593004862467448,0.0015151550328069798,41,{'model__n_neighbors': 41},0.6416539050535988,0.6447166921898928,0.6378254211332313,0.6413986727922409,0.0028191324699303787,5,1.0,1.0,1.0,1.0,0.0
11,0.003192345301310221,2.113320671488214e-05,0.06534600257873535,0.0016101788624331332,45,{'model__n_neighbors': 45},0.6439509954058193,0.6339969372128637,0.6355283307810107,0.6378254211332312,0.004376321643563663,7,1.0,1.0,1.0,1.0,0.0
12,0.0032885074615478516,0.00010807718700300397,0.06760859489440918,0.001744337108439672,49,{'model__n_neighbors': 49},0.6454823889739663,0.6378254211332313,0.6378254211332313,0.6403777437468096,0.0036095292556740212,6,1.0,1.0,1.0,1.0,0.0
0,0.0030410289764404297,1.4001214370355162e-05,0.02339760462443034,0.0008467081811721305,1,{'model__n_neighbors': 1},0.607197549770291,0.5849923430321593,0.5980091883614089,0.5967330270546197,0.009110039968134103,13,1.0,1.0,1.0,1.0,0.0
1,0.0031502246856689453,0.0001044442106576627,0.04075471560160319,0.001125053417054906,5,{'model__n_neighbors': 5},0.6355283307810107,0.6033690658499234,0.6202143950995406,0.6197039305768248,0.013133925809360472,12,1.0,1.0,1.0,1.0,0.0
2,0.003174940745035807,4.3834595604573156e-05,0.04639569918314616,0.0016222678539483523,9,{'model__n_neighbors': 9},0.6217457886676876,0.6094946401225115,0.6416539050535988,0.6242981112812659,0.013252429796576974,11,1.0,1.0,1.0,1.0,0.0
3,0.0032941500345865884,0.00010599028071346812,0.05106703440348307,0.0034168493017314844,13,{'model__n_neighbors': 13},0.6286370597243491,0.6309341500765697,0.6577335375191424,0.6391015824400205,0.01320811539860706,7,1.0,1.0,1.0,1.0,0.0
4,0.003107786178588867,2.0279131826872152e-05,0.05177187919616699,0.0011629011474091648,17,{'model__n_neighbors': 17},0.6301684532924962,0.6163859111791731,0.6600306278713629,0.6355283307810108,0.018216504216493574,10,1.0,1.0,1.0,1.0,0.0
5,0.003206332524617513,6.220983981947682e-05,0.05586838722229004,0.002026053234910559,21,{'model__n_neighbors': 21},0.6294027565084227,0.6209800918836141,0.6569678407350689,0.6357835630423686,0.015369136515900515,9,1.0,1.0,1.0,1.0,0.0
6,0.003213961919148763,5.338316867165187e-05,0.05795900026957194,0.002002353771051717,25,{'model__n_neighbors': 25},0.6309341500765697,0.6278713629402757,0.6569678407350689,0.6385911179173047,0.013054325525823772,8,1.0,1.0,1.0,1.0,0.0
7,0.0032720565795898438,0.00010265315817854395,0.05927936236063639,0.0004919213506646298,29,{'model__n_neighbors': 29},0.6355283307810107,0.6316998468606432,0.6607963246554365,0.6426748340990301,0.012908798995816043,2,1.0,1.0,1.0,1.0,0.0
