,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__activation,param_model__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.08084503809611003,0.02828501678421412,0.0013167063395182292,3.627846822236894e-05,tanh,"(11,)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (11,)}",0.5252679938744257,0.5612557427258805,0.5467075038284839,0.5444104134762634,0.014781452001603128,10,0.5516845329249617,0.5382848392036753,0.5597243491577335,0.5498979070954568,0.008843346676401435
1,0.14404710133870444,0.060034108663062975,0.0018372535705566406,6.189461419475745e-05,tanh,"(22,)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (22,)}",0.5222052067381318,0.5689127105666156,0.5604900459418071,0.5505359877488515,0.020325848639167463,7,0.5382848392036753,0.5922664624808576,0.5922664624808576,0.5742725880551302,0.025447181252502102
2,0.1424710750579834,0.05094239464059942,0.001995245615641276,1.975887731139822e-05,tanh,"(33,)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (33,)}",0.5321592649310873,0.5696784073506891,0.555895865237366,0.5525778458397141,0.015495772574436451,5,0.5447932618683001,0.5911179173047473,0.5907350689127105,0.5755487493619192,0.021747975406926905
3,0.17757662137349448,0.06444792195476043,0.0020536581675211587,6.146895622313219e-05,tanh,"(22, 11)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (22, 11)}",0.5520673813169985,0.5689127105666156,0.55895865237366,0.5599795814190914,0.006914863289506915,1,0.6228943338437979,0.5731240428790199,0.5746554364471669,0.5902246043899949,0.02310944552203209
4,0.14623188972473145,0.02113038790995336,0.002213080724080404,7.355289374680918e-05,tanh,"(22, 22)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (22, 22)}",0.5451761102603369,0.5597243491577335,0.5566615620214395,0.5538540071465033,0.006262299206934818,4,0.6026033690658499,0.5612557427258805,0.5781010719754976,0.580653394589076,0.016976303367346488
5,0.10404475529988606,0.00616273233880434,0.0012709299723307292,3.4013641206707e-05,relu,"(11,)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (11,)}",0.5421133231240429,0.552833078101072,0.555895865237366,0.5502807554874937,0.0059090540596172456,8,0.5692955589586524,0.5758039816232772,0.5635528330781011,0.5695507912200103,0.00500476558221733
6,0.11872402826944987,0.017370404581694462,0.0015869140625,3.413523539425818e-05,relu,"(22,)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (22,)}",0.5375191424196019,0.5673813169984686,0.557427258805513,0.5541092394078612,0.01241489178868331,3,0.5754211332312404,0.5765696784073507,0.5861408882082695,0.5793772332822869,0.004805556504278356
7,0.15406425793965658,0.04282091936665525,0.0017232894897460938,1.2657908593536725e-05,relu,"(33,)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (33,)}",0.5344563552833078,0.5620214395099541,0.5513016845329249,0.5492598264420624,0.011345641026489477,9,0.585375191424196,0.5849923430321593,0.6140888208269525,0.5948187850944359,0.01362686931695782
8,0.1962707837422689,0.04557615240491772,0.0016686121622721355,3.263481159202481e-05,relu,"(22, 11)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (22, 11)}",0.5520673813169985,0.5490045941807045,0.5535987748851455,0.5515569167942829,0.0019099833521051353,6,0.6049004594180705,0.610260336906585,0.5735068912710567,0.5962225625319041,0.016210765194691584
9,0.15033475557963052,0.04499373799493893,0.0017209053039550781,9.852910403701441e-05,relu,"(22, 22)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (22, 22)}",0.555895865237366,0.557427258805513,0.5535987748851455,0.5556406329760081,0.0015733573259236633,2,0.6022205206738132,0.5539816232771823,0.6037519142419602,0.5866513527309852,0.02310944552203204
0,0.11573362350463867,0.048979575300254825,0.0013846556345621746,7.790351140971688e-05,tanh,"(11,)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (11,)}",0.5405819295558959,0.5260336906584993,0.5712098009188361,0.5459418070444104,0.018828461604398126,7,0.5413476263399694,0.5781010719754976,0.5624042879019908,0.560617662072486,0.015057621888641067
1,0.08200844128926595,0.008582007979099074,0.0015667279561360676,2.484006835334078e-05,tanh,"(22,)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (22,)}",0.5421133231240429,0.5267993874425727,0.5612557427258805,0.5433894844308321,0.014095662349651941,10,0.554364471669219,0.5578101071975498,0.5520673813169985,0.5547473200612557,0.002360035988885498
2,0.1462686856587728,0.006789407263356785,0.0019693374633789062,3.289888433856623e-05,tanh,"(33,)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (33,)}",0.5382848392036753,0.5451761102603369,0.5681470137825421,0.5505359877488515,0.012766716692598056,4,0.5769525267993875,0.5934150076569679,0.5754211332312404,0.5819295558958653,0.008145468809205181
3,0.11652851104736328,0.028547412613962306,0.001894076665242513,9.535160198231717e-05,tanh,"(22, 11)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (22, 11)}",0.5398162327718223,0.5222052067381318,0.5704441041347627,0.5441551812149056,0.01993100868336358,9,0.5409647779479326,0.582312404287902,0.580781010719755,0.5680193976518632,0.019140717977797515
4,0.10844643910725911,0.013018273233389875,0.001990079879760742,4.338999802123221e-05,tanh,"(22, 22)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (22, 22)}",0.5421133231240429,0.5451761102603369,0.5597243491577335,0.5490045941807044,0.007682448669368234,6,0.5532159264931087,0.5842266462480857,0.5474732006125574,0.5616385911179173,0.016143314427494643
5,0.146470308303833,0.057805512550573396,0.0012501875559488933,4.526786924729739e-05,relu,"(11,)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (11,)}",0.55895865237366,0.5237366003062787,0.5551301684532925,0.5459418070444104,0.015779052083791496,7,0.5846094946401225,0.5758039816232772,0.5520673813169985,0.5708269525267994,0.013743492977991446
6,0.09866825739542644,0.006802259546981642,0.0014971097310384114,7.715836550385286e-05,relu,"(22,)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (22,)}",0.5513016845329249,0.5421133231240429,0.55895865237366,0.5507912200102093,0.00688654291129761,3,0.5673813169984686,0.5761868300153139,0.555895865237366,0.5664880040837162,0.008307800305645619
7,0.15286755561828613,0.022251285095575512,0.0016712347666422527,2.600208175899208e-05,relu,"(33,)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (33,)}",0.5352220520673813,0.5390505359877489,0.5773353751914242,0.5505359877488515,0.019014375224287065,4,0.5773353751914242,0.6110260336906586,0.5857580398162328,0.5913731495661052,0.014315777092782221
8,0.1594550609588623,0.011537429531561451,0.0016676584879557292,4.532768534558627e-05,relu,"(22, 11)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (22, 11)}",0.5566615620214395,0.5390505359877489,0.5658499234303216,0.5538540071465033,0.011119459372532888,2,0.6026033690658499,0.5899693721286371,0.5830781010719756,0.5918836140888208,0.008085264962458946
9,0.21191859245300293,0.03732809262661354,0.0017976760864257812,2.2146848840041e-05,relu,"(22, 22)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (22, 22)}",0.554364471669219,0.5382848392036753,0.5696784073506891,0.5541092394078612,0.012817641173547438,1,0.6006891271056661,0.6271056661562021,0.6064318529862175,0.6114088820826953,0.011344205505382112
0,0.168168306350708,0.026479233557272185,0.001306772232055664,6.540959149536213e-06,tanh,"(11,)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (11,)}",0.5681470137825421,0.5245022970903522,0.5398162327718223,0.5441551812149056,0.018080102856993175,8,0.5566615620214395,0.5857580398162328,0.5773353751914242,0.5732516590096988,0.012224532940100116
1,0.1655137538909912,0.015175640259854524,0.0017723242441813152,5.220090563972716e-05,tanh,"(22,)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (22,)}",0.5635528330781011,0.5505359877488515,0.5520673813169985,0.5553854007146504,0.005808987583839228,2,0.5884379785604901,0.5960949464012251,0.5834609494640123,0.5893312914752425,0.0051963433056411955
2,0.13582762082417807,0.0589819884461322,0.0019086201985677083,0.00011482279914044366,tanh,"(33,)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (33,)}",0.5604900459418071,0.5413476263399694,0.5490045941807045,0.5502807554874937,0.007866786629618412,5,0.5658499234303216,0.607197549770291,0.55895865237366,0.5773353751914242,0.021302339576176946
3,0.160082737604777,0.03047929114472338,0.0019833246866861978,3.15970338027087e-05,tanh,"(22, 11)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (22, 11)}",0.5650842266462481,0.5413476263399694,0.5482388973966309,0.5515569167942828,0.009970405811446998,3,0.5991577335375191,0.585375191424196,0.5842266462480857,0.5895865237366004,0.006784090791221026
4,0.11922661463419597,0.044657068958540644,0.0020197232564290366,8.112244464149086e-05,tanh,"(22, 22)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (22, 22)}",0.5727411944869831,0.5313935681470138,0.5428790199081164,0.5490045941807045,0.017426962751517668,6,0.5922664624808576,0.5432618683001531,0.5555130168453293,0.56368044920878,0.020822948498592283
5,0.09842530886332194,0.024452212341562262,0.0013437271118164062,0.0001421272056844317,relu,"(11,)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (11,)}",0.5643185298621746,0.5252679938744257,0.5413476263399694,0.5436447166921899,0.016024846505709314,9,0.5761868300153139,0.5635528330781011,0.5631699846860643,0.5676365492598264,0.006047981424743622
6,0.09507179260253906,0.03458156127030338,0.0015222231547037761,0.00010761147575151926,relu,"(22,)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (22,)}",0.5267993874425727,0.5467075038284839,0.5513016845329249,0.5416028586013272,0.010634337241449547,10,0.5474732006125574,0.611791730474732,0.5516845329249617,0.5703164880040837,0.02937777656053043
7,0.11626068751017253,0.0254012968015384,0.0016500155131022136,5.0198797650770985e-05,relu,"(33,)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (33,)}",0.5535987748851455,0.5352220520673813,0.5566615620214395,0.5484941296579887,0.009467706478300888,7,0.5792496171516079,0.5735068912710567,0.5861408882082695,0.5796324655436447,0.005164907183473186
8,0.1251386801401774,0.030616053154966977,0.0016453266143798828,2.7869490044026293e-05,relu,"(22, 11)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (22, 11)}",0.5551301684532925,0.5474732006125574,0.5497702909647779,0.5507912200102093,0.0032082197779419656,4,0.554364471669219,0.5704441041347627,0.5792496171516079,0.5680193976518632,0.0103029774843999
9,0.11752231915791829,0.011785737234754018,0.0018277168273925781,4.271531287731356e-05,relu,"(22, 22)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (22, 22)}",0.5689127105666156,0.5321592649310873,0.5666156202143952,0.5558958652373661,0.016810488820903628,1,0.5911179173047473,0.5777182235834609,0.5719754977029097,0.5802705461970393,0.008020549444854832
0,0.11183468500773112,0.04996254697868841,0.0013567606608072917,9.331122316243015e-05,tanh,"(11,)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (11,)}",0.5199081163859112,0.5520673813169985,0.5490045941807045,0.5403266972945381,0.014492158822438397,9,0.5635528330781011,0.5516845329249617,0.5669984686064319,0.5607452782031649,0.006559518772790438
1,0.15828657150268555,0.03896891700099901,0.0017213821411132812,1.5057537980343142e-05,tanh,"(22,)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (22,)}",0.5359877488514548,0.5566615620214395,0.5597243491577335,0.5507912200102093,0.010542050244034372,4,0.6202143950995406,0.5960949464012251,0.5601071975497703,0.5921388463501787,0.02469759563239835
2,0.08623997370402019,0.013731632771143266,0.0019043286641438801,8.434410831047066e-05,tanh,"(33,)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (33,)}",0.5191424196018377,0.5413476263399694,0.5390505359877489,0.5331801939765186,0.009970405811446951,10,0.5708269525267994,0.5413476263399694,0.5509188361408882,0.554364471669219,0.012279032840658422
3,0.2213306427001953,0.04194812488356935,0.0020383199055989585,3.601637752848691e-05,tanh,"(22, 11)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (22, 11)}",0.5382848392036753,0.552833078101072,0.5490045941807045,0.546707503828484,0.006157395651768679,6,0.6121745788667687,0.622511485451761,0.5773353751914242,0.604007146503318,0.019326155819203245
4,0.1819275220235189,0.05485738461027645,0.002142747243245443,8.97436865555639e-05,tanh,"(22, 22)","{'model__activation': 'tanh', 'model__hidden_layer_sizes': (22, 22)}",0.5405819295558959,0.5497702909647779,0.552833078101072,0.5477284328739153,0.005205737124648046,5,0.6175344563552833,0.5520673813169985,0.5953292496171516,0.5883103624298112,0.027183733635252793
5,0.09915431340535481,0.03402282030498423,0.0012693405151367188,9.122868150470193e-05,relu,"(11,)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (11,)}",0.5160796324655437,0.5551301684532925,0.5597243491577335,0.5436447166921899,0.019581488288735703,8,0.5379019908116386,0.5723583460949464,0.5478560490045942,0.552705461970393,0.01447866728298401
6,0.13743329048156738,0.045724103716594085,0.0015495618184407551,5.659327013138775e-05,relu,"(22,)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (22,)}",0.5290964777947933,0.5620214395099541,0.5482388973966309,0.5464522715671261,0.013500797504275845,7,0.5681470137825421,0.5972434915773354,0.5750382848392037,0.5801429300663604,0.01241489178868332
7,0.11463268597920735,0.024629177870752698,0.0016663074493408203,8.354317651014624e-05,relu,"(33,)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (33,)}",0.5367534456355283,0.5650842266462481,0.5581929555895865,0.5533435426237876,0.01206360622572384,2,0.5960949464012251,0.5765696784073507,0.5604900459418071,0.5777182235834609,0.014558310368936834
8,0.14836382865905762,0.02829173321403347,0.0016636848449707031,3.359080029393523e-05,relu,"(22, 11)","{'model__activation': 'relu', 'model__hidden_layer_sizes': (22, 11)}",0.5336906584992342,0.5604900459418071,0.5620214395099541,0.5520673813169984,0.013009336332184478,3,0.6041347626339969,0.583843797856049,0.5957120980091883,0.594563552833078,0.00832346802405324
