,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_model__degree,param_model__kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.2413464387257894,0.04315034548441569,0.5234813680449208,0.5290964777947932,,linear,{'model__kernel': 'linear'},2,0.5283307810107197,0.5287136294027565,0.5260336906584993,0.5298621745788668,0.5160796324655437,0.5287136294027565,0.007368822908122498,0.002742169124486039,0.005317168620724756,0.0005414293883511242
1,0.19453652699788412,0.06454086303710938,0.5689127105666157,0.6174068402246045,,rbf,{'model__kernel': 'rbf'},1,0.555895865237366,0.6198315467075038,0.5673813169984686,0.6282542113323124,0.5834609494640123,0.6041347626339969,0.0013059933490891051,0.0007991023271483612,0.011305377534635081,0.009994877105258452
0,0.21816937128702799,0.04101832707722982,0.5267993874425727,0.5280755487493619,,linear,{'model__kernel': 'linear'},2,0.5344563552833078,0.526416539050536,0.5076569678407351,0.5359877488514548,0.5382848392036753,0.5218223583460949,0.002591200965120526,0.0013207985504197265,0.013625674134802567,0.005900780000866221
1,0.19588565826416016,0.0647581418355306,0.5778458397141398,0.6217457886676877,,rbf,{'model__kernel': 'rbf'},1,0.5957120980091883,0.6205972434915773,0.5551301684532925,0.6217457886676876,0.5826952526799387,0.6228943338437979,0.00192711200297833,0.0011002150652180296,0.016918645655106195,0.0009377832093350879
0,0.2212196191151937,0.041479269663492836,0.5262889229198571,0.5298621745788668,,linear,{'model__kernel': 'linear'},2,0.5428790199081164,0.5275650842266463,0.5191424196018377,0.5325421133231241,0.5168453292496171,0.52947932618683,0.0009338342581217231,0.0009945685125074756,0.011768393959569677,0.0020498185814457645
1,0.19448955853780112,0.06403644879659016,0.5592138846350179,0.6213629402756509,,rbf,{'model__kernel': 'rbf'},1,0.5727411944869831,0.613323124042879,0.5505359877488515,0.6294027565084227,0.554364471669219,0.6213629402756509,0.0036163805525434643,0.0006903627323462172,0.009692106965823117,0.006564482465345434
0,0.22683278719584146,0.040628910064697266,0.52475752935171,0.529606942317509,,linear,{'model__kernel': 'linear'},2,0.5344563552833078,0.524885145482389,0.5206738131699847,0.5329249617151608,0.5191424196018377,0.531010719754977,0.013903441828486234,0.0002970120122714982,0.006886542911297604,0.003429052792890361
1,0.1931913693745931,0.06362160046895345,0.5712098009188362,0.6216181725370086,,rbf,{'model__kernel': 'rbf'},1,0.5719754977029097,0.6244257274119449,0.5765696784073507,0.6205972434915773,0.5650842266462481,0.6198315467075038,0.002954577974431387,0.0005209149088622301,0.004720071977771038,0.0020097008356334575
0,0.2223051389058431,0.04241824150085449,0.5227156712608473,0.5290964777947932,,linear,{'model__kernel': 'linear'},2,0.5122511485451761,0.5317764165390505,0.5313935681470138,0.5222052067381318,0.5245022970903522,0.5333078101071975,0.01087931082623753,0.00218755563003111,0.007916315681097937,0.004912806675579377
1,0.19284296035766602,0.06430276234944661,0.5676365492598264,0.6242981112812659,,rbf,{'model__kernel': 'rbf'},1,0.5451761102603369,0.6370597243491577,0.5803981623277182,0.6137059724349158,0.5773353751914242,0.6221286370597243,0.0005745103526645612,0.00015643436572968834,0.015931073541936968,0.00965675569800541
0,0.2142465909322103,0.04124681154886881,0.5193976518631955,0.529351710056151,,linear,{'model__kernel': 'linear'},2,0.5153139356814701,0.527947932618683,0.5183767228177641,0.5348392036753445,0.5245022970903522,0.5252679938744257,0.0004785215641613655,0.0014992999859621246,0.003819966704210271,0.004031538795030968
1,0.19505874315897623,0.06470402081807454,0.5681470137825421,0.6245533435426238,,rbf,{'model__kernel': 'rbf'},1,0.5681470137825421,0.6209800918836141,0.5520673813169985,0.638208269525268,0.5842266462480857,0.6144716692189893,0.005729576269608905,0.0014643924072510264,0.013128964930690823,0.010014411085662792
0,0.21747835477193198,0.0413050651550293,0.5260336906584993,0.5301174068402247,,linear,{'model__kernel': 'linear'},2,0.5344563552833078,0.5218223583460949,0.5168453292496171,0.5421133231240429,0.5267993874425727,0.526416539050536,0.004886025267795834,0.0013990633947884253,0.0072100290412585805,0.00868727535738518
1,0.19676923751831055,0.06684613227844238,0.5775906074527821,0.622766717713119,,rbf,{'model__kernel': 'rbf'},1,0.5803981623277182,0.6236600306278713,0.5750382848392037,0.6163859111791731,0.5773353751914242,0.6282542113323124,0.003569105939695463,0.002788350699654081,0.002195590930842926,0.004886214833863349
0,0.2330040136973063,0.04184333483378092,0.5224604389994895,0.5285860132720775,,linear,{'model__kernel': 'linear'},2,0.5160796324655437,0.5317764165390505,0.5313935681470138,0.5214395099540582,0.5199081163859112,0.5325421133231241,0.016581167577708028,0.0006991289305904021,0.006507171405810077,0.005063000108442414
1,0.19506295522054037,0.06587807337443034,0.5689127105666157,0.6216181725370087,,rbf,{'model__kernel': 'rbf'},1,0.5482388973966309,0.6217457886676876,0.5819295558958653,0.611791730474732,0.5765696784073507,0.6313169984686064,0.0032399803620804827,0.0014204579216418553,0.014781452001603154,0.007971668038152847
0,0.22546625137329102,0.04158941904703776,0.52475752935171,0.5296069423175089,,linear,{'model__kernel': 'linear'},2,0.5099540581929556,0.5401990811638591,0.5390505359877489,0.5164624808575804,0.5252679938744257,0.5321592649310873,0.004276987547936673,0.0008747763910589927,0.011884070165209626,0.009857055394245785
1,0.19878371556599936,0.06591097513834636,0.5645737621235324,0.6185553854007146,,rbf,{'model__kernel': 'rbf'},1,0.5436447166921899,0.6236600306278713,0.5803981623277182,0.6171516079632465,0.5696784073506891,0.614854517611026,0.0030168976415249345,0.0016050919355552842,0.015432584438826903,0.0037293617141915284
0,0.2210510571797689,0.04108166694641113,0.52475752935171,0.5306278713629403,,linear,{'model__kernel': 'linear'},2,0.5260336906584993,0.526416539050536,0.5199081163859112,0.5325421133231241,0.5283307810107197,0.5329249617151608,0.007419422847623351,0.0006512303873557525,0.00355497403705567,0.0029819605527177015
1,0.19598674774169922,0.06476561228434245,0.5709545686574783,0.6269780500255232,,rbf,{'model__kernel': 'rbf'},1,0.5811638591117917,0.6286370597243491,0.5773353751914242,0.6236600306278713,0.554364471669219,0.6286370597243491,0.0016607802288859312,0.0013914109683528786,0.011834633097876081,0.002346194016188135
0,0.2268392244974772,0.04128392537434896,0.5239918325676365,0.5289688616641144,,linear,{'model__kernel': 'linear'},2,0.5336906584992342,0.5267993874425727,0.5153139356814701,0.5306278713629403,0.5229709035222052,0.52947932618683,0.008030267260297532,0.0012518943803407707,0.00753691835642337,0.0016041098889710017
1,0.19308074315388998,0.06504344940185547,0.5732516590096989,0.6240428790199081,,rbf,{'model__kernel': 'rbf'},1,0.5727411944869831,0.6125574272588055,0.5643185298621746,0.6248085758039816,0.5826952526799387,0.6347626339969372,0.004573212878178679,0.0011949790824834416,0.007510943833365057,0.009081391972770416
0,0.21268598238627115,0.04192376136779785,0.5255232261357835,0.5270546197039306,,linear,{'model__kernel': 'linear'},2,0.5168453292496171,0.5256508422664625,0.5245022970903522,0.5298621745788668,0.5352220520673813,0.5256508422664625,0.0024397804447038648,0.001210644564519844,0.007536918356423369,0.001985241090620701
1,0.19490909576416016,0.06678303082784016,0.5684022460439,0.6205972434915773,,rbf,{'model__kernel': 'rbf'},1,0.5620214395099541,0.6171516079632465,0.5735068912710567,0.6251914241960184,0.5696784073506891,0.6194486983154671,0.0047157432729262394,0.0036727042569097298,0.004774958380262808,0.003381225446526739
0,0.21916762987772623,0.04066713651021322,0.5245022970903522,0.5261613067891782,,linear,{'model__kernel': 'linear'},2,0.5214395099540582,0.5287136294027565,0.5298621745788668,0.5252679938744257,0.5222052067381318,0.5245022970903522,0.0037613386973373996,0.0002962611132835644,0.0038028750448573937,0.0018316360508431806
1,0.19500358899434408,0.06533082326253255,0.5597243491577336,0.6222562531904032,,rbf,{'model__kernel': 'rbf'},1,0.55895865237366,0.6213629402756509,0.5704441041347627,0.6232771822358346,0.5497702909647779,0.6221286370597243,0.003593744618928301,0.0018907586891126415,0.008457397409791184,0.0007866786629618347
0,0.22162620226542154,0.04094235102335612,0.5222052067381318,0.5317764165390506,,linear,{'model__kernel': 'linear'},2,0.5160796324655437,0.527947932618683,0.5275650842266463,0.5363705972434916,0.5229709035222052,0.531010719754977,0.0041923530557231815,0.0007405784173220666,0.004720071977771039,0.0034809039553307373
1,0.19706225395202637,0.06442618370056152,0.5615109749872383,0.6225114854517612,,rbf,{'model__kernel': 'rbf'},1,0.55895865237366,0.6167687595712098,0.5666156202143952,0.6236600306278713,0.55895865237366,0.6271056661562021,0.0032583280631637195,0.0005412562808592778,0.0036095292556740737,0.00429746254223652
0,0.22596470514933267,0.04052193959554037,0.5255232261357836,0.5312659520163349,,linear,{'model__kernel': 'linear'},2,0.5290964777947933,0.5302450229709035,0.5352220520673813,0.5256508422664625,0.5122511485451761,0.5379019908116386,0.008653186622148566,0.0004935547277449599,0.00971224991855052,0.005053340957943662
